Card ID,EN Name,EN Expansion,EN Collection No.,JP Name,JP Expansion,JP Collection No.,Category,HP,Type
1,Basic {G} Energy,SVE,1,基本【草】エネルギー,n/a,GRA,n/a,n/a,{G}
2,Basic {R} Energy,SVE,2,基本【炎】エネルギー,n/a,FIR,n/a,n/a,{R}
3,Basic {W} Energy,SVE,3,基本【水】エネルギー,n/a,WAT,n/a,n/a,{W}
4,Basic {L} Energy,SVE,4,基本【雷】エネルギー,n/a,LIG,n/a,n/a,{L}
5,Basic {P} Energy,SVE,5,基本【超】エネルギー,n/a,PSY,n/a,n/a,{P}
6,Basic {F} Energy,SVE,6,基本【闘】エネルギー,n/a,FIG,n/a,n/a,{F}
7,Basic {D} Energy,SVE,7,基本【悪】エネルギー,n/a,DAR,n/a,n/a,{D}
8,Basic {M} Energy,SVE,8,基本【鋼】エネルギー,n/a,MET,n/a,n/a,{M}
9,Boomerang Energy,TWM,166,ブーメランエネルギー,MC,738/742,n/a,n/a,{C}
10,Neo Upper Energy,TEF,162,ネオアッパーエネルギー,SV5K,071/071,n/a,n/a,{A}{A}
11,Mist Energy,TEF,161,ミストエネルギー,SVN,043/045,n/a,n/a,{C}
12,Legacy Energy,TWM,167,レガシーエネルギー,MC,741/742,n/a,n/a,{A}
13,Enriching Energy,SSP,191,リッチエネルギー,MC,740/742,n/a,n/a,{C}
14,Spiky Energy,JTG,159,スパイクエネルギー,MC,737/742,n/a,n/a,{C}
15,Team Rocket's Energy,DRI,182,ロケット団エネルギー,MC,742/742,n/a,n/a,{Team Rocket}{Team Rocket}
16,Prism Energy,BLK,86,プリズムエネルギー,MC,739/742,n/a,n/a,{A}
17,Ignition Energy,WHT,86,イグニッションエネルギー,MC,736/742,n/a,n/a,{C}{C}{C}
18,Grow Grass Energy,POR,86,グロウ【草】エネルギー,M3,078/080,n/a,n/a,{G}
19,Telepath Psychic Energy,POR,87,テレパス【超】エネルギー,M3,079/080,n/a,n/a,{P}
20,Rock Fighting Energy,POR,88,ロック【闘】エネルギー,M3,080/080,n/a,n/a,{F}
21,Scrafty,PROMO,188,ズルズキン,PROMO,158/SV-P,n/a,120,{D}
22,Hippopotas,DRI,105,ヒポポタス,PROMO,186/SV-P,n/a,90,{F}
23,Hippowdon,DRI,106,カバルドン,PROMO,187/SV-P,n/a,160,{F}
24,Team Rocket's Kangaskhan ex,ASC,162,ロケット団のガルーラex,PROMO,265/SV-P,Trainer's Pokémon(Team Rocket),230,{C}
25,Pinsir,TWM,3,カイロス,SV5a,003/066,n/a,110,{G}
26,Leafeon,TWM,11,リーフィア,MC,037/742,n/a,120,{G}
27,Iron Leaves,TWM,19,テツノイサハ,SV5a,007/066,Future,120,{G}
28,Poltchageist,TWM,20,チャデス,SV8a,017/187,n/a,30,{G}
29,Sinistcha ex,TWM,23,ヤバソチャex,MC,079/742,n/a,240,{G}
30,Magcargo ex,TWM,29,マグカルゴex,MC,096/742,Tera(Fire),270,{R}
31,Chi-Yu,TWM,39,イーユイ,SV5a,018/066,n/a,110,{R}
32,Glaceon,TWM,54,グレイシア,SV8a,040/187,n/a,120,{W}
33,Froakie,TWM,56,ケロマツ,SV5a,023/066,n/a,60,{W}
34,Frogadier,TWM,57,ゲコガシラ,SV5a,024/066,n/a,90,{W}
35,Walking Wake,TWM,63,ウネルミナモ,MC,221/742,Ancient,130,{W}
36,Morpeko,TWM,72,モルペコ,MC,270/742,n/a,70,{L}
37,Iron Thorns ex,TWM,77,テツノイバラex,MC,282/742,Future,230,{L}
38,Girafarig,TWM,83,キリンリキ,MC,301/742,n/a,100,{P}
39,Enamorus,TWM,93,ラブトロス,MC,346/742,n/a,120,{P}
40,Greninja ex,TWM,106,ゲッコウガex,SV5a,045/066,Tera(Fighting),310,{F}
41,Ting-Lu,TWM,110,ディンルー,SV5a,047/066,n/a,140,{F}
42,Applin,TWM,126,カジッチュ,SV5a,048/066,n/a,40,{N}
43,Eevee,TWM,135,イーブイ,SV5a,050/066,n/a,50,{C}
44,Bloodmoon Ursaluna ex,TWM,141,ガチグマ アカツキex,MC,625/742,n/a,260,{C}
45,Shaymin,TEF,13,シェイミ,MC,039/742,n/a,70,{G}
46,Gouging Fire ex,TEF,38,ウガツホムラex,MC,151/742,Ancient,230,{R}
47,Totodile,TEF,39,ワニノコ,MC,164/742,n/a,70,{W}
48,Croconaw,TEF,40,アリゲイツ,MC,166/742,n/a,90,{W}
49,Feraligatr,TEF,41,オーダイル,MC,168/742,n/a,180,{W}
50,Wiglett,TEF,47,ウミディグダ,SV8a,042/187,n/a,60,{W}
