card_id,card_name,ability_name,ability_text
9,Boomerang Energy,Boomerang Energy,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is discarded by an effect of an attack used by the Pokémon this card is attached to, attach this card from your discard pile to that Pokémon after attacking."
10,Neo Upper Energy,Neo Upper Energy,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to a Stage 2 Pokémon, this card provides every type of Energy but provides only 2 Energy at a time."
11,Mist Energy,Mist Energy,"As long as this card is attached to a Pokémon, it provides {C} Energy.

Prevent all effects of attacks used by your opponent’s Pokémon done to the Pokémon this card is attached to. (Existing effects are not removed. Damage is not an effect.)"
12,Legacy Energy,Legacy Energy,"As long as this card is attached to a Pokémon, it provides every type of Energy but provides only 1 Energy at a time.

If the Pokémon this card is attached to is Knocked Out by damage from an attack from your opponent’s Pokémon, that player takes 1 fewer Prize card. This effect of your Legacy Energy only works once per game."
13,Enriching Energy,Enriching Energy,"As long as this card is attached to a Pokémon, it provides {C} Energy.

When you attach this card from your hand to a Pokémon, draw 4 cards."
14,Spiky Energy,Spiky Energy,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), put 2 damage counters on the Attacking Pokémon."
15,Team Rocket's Energy,Team Rocket's Energy,"This card can only be attached to a Team Rocket’s Pokémon. If this card is attached to anything other than a Team Rocket’s Pokémon, discard this card.

As long as this card is attached to a Pokémon, it provides 2 in any combination of {P} Energy and {D} Energy."
16,Prism Energy,Prism Energy,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to a Basic Pokémon, this card provides every type of Energy but provides only 1 Energy at a time."
17,Ignition Energy,Ignition Energy,"If this card is attached to 1 of your Pokémon, discard it at the end of your turn.

As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to an Evolution Pokémon, it provides {C}{C}{C} Energy instead."
18,Grow Grass Energy,Grow Grass Energy,"As long as this card is attached to a Pokémon, it provides {G} Energy.
The {G} Pokémon this card is attached to gets +20 HP."
19,Telepath Psychic Energy,Telepath Psychic Energy,"As long as this card is attached to a Pokémon, it provides {P} Energy.
When you attach this card from your hand to a {P} Pokémon, search your deck for up to 2 Basic {P} Pokémon and put them onto your Bench. Then, shuffle your deck."
20,Rock Fighting Energy,Rock Fighting Energy,"As long as this card is attached to a Pokémon, it provides {F} Energy.
Prevent all effects of attacks used by your opponent’s Pokémon done to the {F} Pokémon this card is attached to. (Existing effects are not removed. Damage is not an effect.)"
28,Poltchageist,Storehouse Hideaway,"As long as this Pokémon is on your Bench, prevent all damage from and effects of attacks from your opponent’s Pokémon done to this Pokémon."
36,Morpeko,Snack Seek,"Once during your turn, you may look at the top card of your deck. You may discard that card."
37,Iron Thorns ex,Initialization,"As long as this Pokémon is in the Active Spot, Pokémon with a Rule Box in play (both yours and your opponent’s) have no Abilities, except for Future Pokémon. (Pokémon {ex}, Pokémon {V}, etc. have Rule Boxes.)"
