card_id,card_name,ability_name,once_per_turn,passive_static,on_play_or_enter,on_damaged,on_knock_out,on_attack
9,Boomerang Energy,Boomerang Energy,0,1,0,0,0,0
10,Neo Upper Energy,Neo Upper Energy,0,1,0,0,0,0
11,Mist Energy,Mist Energy,0,1,0,0,0,0
12,Legacy Energy,Legacy Energy,0,1,0,0,0,0
13,Enriching Energy,Enriching Energy,0,1,0,0,0,0
14,Spiky Energy,Spiky Energy,0,1,0,1,0,0
15,Team Rocket's Energy,Team Rocket's Energy,0,1,0,0,0,0
16,Prism Energy,Prism Energy,0,1,0,0,0,0
17,Ignition Energy,Ignition Energy,0,1,0,0,0,0
18,Grow Grass Energy,Grow Grass Energy,0,1,0,0,0,0
19,Telepath Psychic Energy,Telepath Psychic Energy,0,1,0,0,0,0
20,Rock Fighting Energy,Rock Fighting Energy,0,1,0,0,0,0
28,Poltchageist,Storehouse Hideaway,0,1,0,0,0,0
36,Morpeko,Snack Seek,1,0,0,0,0,0
37,Iron Thorns ex,Initialization,0,1,0,0,0,0
44,Bloodmoon Ursaluna ex,Seasoned Skill,0,0,0,0,0,0
49,Feraligatr,Torrential Heart,1,0,0,0,0,0
56,Flutter Mane,Midnight Fluttering,0,1,0,0,0,0
57,Relicanth,Memory Dive,0,0,0,0,0,0
66,Dudunsparce,Run Away Draw,1,0,0,0,0,0
72,Sawsbuck, Changing Seasons,1,0,0,0,0,0
74,Rabsca,Spherical Shield,0,0,0,0,0,0
75,Iron Leaves ex,Rapid Vernier,0,0,1,0,0,0
79,Incineroar ex,Hustle Play,0,0,0,0,0,0
80,Iron Crown ex,Cobalt Command,0,0,0,0,0,0
81,Drilbur,Dig Dig Dig,0,0,1,0,0,0
83,Farigiraf ex,Armor Tail,0,0,0,0,0,0
86,Metang,Metal Maker,1,0,0,0,0,0
90,Thwackey,Boom Boom Groove,1,0,0,0,0,0
93,Dipplin,Festival Lead,0,0,0,0,0,0
96,Teal Mask Ogerpon ex,Teal Dance,1,0,0,0,0,0
98,Chandelure, Alluring Light,1,0,0,0,0,0
100,Goldeen,Festival Lead,0,0,0,0,0,0
102,Milotic,Mentally Calm,0,0,0,0,0,0
104,Froslass,Freezing Shroud,0,0,0,0,0,0
106,Palafin,Zero to Hero,1,0,0,0,0,0
107,Palafin ex,Hero’s Spirit,0,0,0,0,0,0
109,Abra,Teleporter,1,0,0,0,0,0
112,Munkidori,Adrena-Brain,1,0,0,0,0,0
116,Okidogi,Adrena-Power,0,0,0,0,0,0
117,Cornerstone Mask Ogerpon ex,Cornerstone Stance,0,0,0,0,0,0
118,Heatran, Incandescent Body,0,0,0,1,0,0
120,Drakloak,Recon Directive,1,0,0,0,0,0
122,Tatsugiri,Attract Customers,1,0,0,0,0,0
123,Farfetch'd, Impromptu Carrier,0,0,1,0,0,0
125,Blissey ex,Happy Switch,1,0,0,0,0,0
126,Galvantula,Compound Eyes,0,0,0,0,0,0
132,Dusclops,Cursed Blast,1,0,0,0,0,0
133,Dusknoir,Cursed Blast,1,0,0,0,0,0
135,Bloodmoon Ursaluna,Battle-Hardened,0,0,1,0,0,0
139,Munkidori ex,Oh No You Don’t,0,0,0,0,0,0
140,Fezandipiti ex,Flip the Script,1,0,0,0,0,0
141,Pecharunt ex,Subjugating Chains,1,0,0,0,0,0
142,Genesect,ACE Nullifier,0,0,0,0,0,0
144,Kyurem,Plasma Bane,0,0,0,0,0,0
147,Cradily,Selective Slime,1,0,0,0,0,0
150,Hydrapple ex,Ripening Charge,1,0,0,0,0,0
155,Carracosta, Primal Knowledge,0,0,0,0,0,0
156,Crabominable,Food Prep,0,0,0,0,0,0
158,Drednaw,Impervious Shell,0,0,0,0,0,0
159,Veluza,Food Prep,0,0,0,0,0,0
167,Klinklang,Emergency Rotation,1,0,0,0,0,0
170,Archaludon,Metal Bridge,0,0,0,0,0,0
173,Noctowl,Jewel Seeker,1,0,1,0,0,0
174,Fan Rotom,Fan Call,0,0,0,0,0,0
175,Bouffalant,Curly Wall,0,0,0,0,0,0
180,Bruxish, Counterattack,0,0,0,1,0,0
182,Quaquaval,Up-Tempo,1,0,0,0,0,0
184,Latias ex,Skyliner,0,0,0,0,0,0
190,Archaludon ex,Assemble Alloy,0,0,1,0,0,0
198,Durant ex,Sudden Shearing,0,0,1,0,0,0
202,Victini,Victory Cheer,0,0,0,0,0,0
203,Skeledirge,Unaware,0,0,0,0,0,0
205,Scovillain ex,Double Type,0,1,0,0,0,0
207,Milotic ex,Sparkling Scales,0,0,0,0,0,0
209,Chien-Pao,Snow Sink,0,0,1,0,0,0
210,Pikachu ex,Resolute Heart,0,0,0,0,0,0
211,Magneton,Overvolt Discharge,1,0,0,0,0,0
214,Togekiss,Wonder Kiss,0,0,0,0,1,0
221,Meowstic,Beckoning Tail,1,0,0,0,0,0
225,Gastrodon,Sticky Bind,0,1,0,0,0,0
230,Pecharunt,Toxic Subjugation,0,1,0,0,0,0
232,Slaking ex,Born to Slack,0,0,0,0,0,0
238,Whimsicott, Wafting Heal,0,0,1,0,0,0
240,Seaking,Festival Lead,0,0,0,0,0,0
247,Swirlix, Festival Lead,0,0,0,0,0,0
249,Eevee ex,Rainbow DNA,0,0,0,0,0,0
250,Hoothoot,Insomnia,0,0,0,0,0,0
255,Maractus,Exploding Needles,0,0,0,0,0,0
256,Magmortar,Magma Surge,0,0,0,0,0,0
259,Volcanion ex,Scalding Steam,1,0,0,0,0,0
262,Ludicolo,Vibrant Dance,0,0,0,0,0,0
269,Iono’s Bellibolt ex,Electric Streamer,0,0,0,0,0,0
271,Iono’s Kilowattrel,Flashing Draw,1,0,0,0,0,0
272,Lillie’s Clefairy ex,Fairy Zone,0,0,0,0,0,0
279,Lillie’s Ribombee,Inviting Wink,0,0,1,0,0,0
283,Mamoswine ex,Mammoth Hauler,1,0,0,0,0,0
287,Lycanroc,Spike-Clad,0,0,1,0,0,0
290,Tyranitar,Daunting Gaze,0,1,0,0,0,0
293,N’s Zoroark ex,Trade,1,0,0,0,0,0
297,Magearna,Auto Heal,0,1,0,0,0,0
304,Hop’s Snorlax,Extra Helpings,0,0,0,0,0,0
