attack_id,card_id,card_name,move_name,energies,energy_cost_count,damage,damage_per_energy,text,csv_cost_text,csv_damage_text
1,21,Scrafty,Nab ’n’ Dash,COLORLESS,1,0,0.0,"Search your deck for a number of cards up to the number of your Benched Pokémon and put them into your hand. Then, shuffle your deck.",●,n/a
2,21,Scrafty,High Jump Kick,DARKNESS;COLORLESS;COLORLESS,3,100,33.33,,{D}●●,100
3,22,Hippopotas,Push Down,FIGHTING,1,10,10.0,Switch out your opponent’s Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.),{F},10
4,23,Hippowdon,Ram,FIGHTING;FIGHTING,2,60,30.0,,{F}{F},60
5,23,Hippowdon,Super Sandstorm,FIGHTING;FIGHTING;COLORLESS,3,150,50.0,This attack also does 40 damage to each Benched Pokémon that has any damage counters on it (both yours and your opponent’s). (Don’t apply Weakness and Resistance for Benched Pokémon.),{F}{F}●,150
6,24,Team Rocket's Kangaskhan ex,Comet Punch,COLORLESS;COLORLESS,2,0,0.0,Flip 4 coins. This attack does 30 damage for each heads.,,
7,24,Team Rocket's Kangaskhan ex,Wicked Impact,COLORLESS;COLORLESS;COLORLESS,3,120,40.0,"If you played a Supporter card that has “Team Rocket” in its name from your hand during this turn, this attack does 100 more damage.",●●●,120
8,25,Pinsir,Slow Crunch,GRASS;COLORLESS,2,0,0.0,"Discard all Energy from this Pokémon. At the end of your opponent’s next turn, the Defending Pokémon will be Knocked Out.",{G}●,n/a
9,25,Pinsir,Superpowered Horns,GRASS;COLORLESS;COLORLESS,3,100,33.33,,{G}●●,100
10,26,Leafeon,Leaflet Blessings,COLORLESS,1,0,0.0,"Attach a Basic {G} Energy card from your hand to 1 of your Benched Pokémon. If you do, heal all damage from that Pokémon.",●,n/a
11,26,Leafeon,Solar Beam,GRASS;COLORLESS,2,70,35.0,,{G}●,70
12,27,Iron Leaves,Recovery Net,GRASS,1,0,0.0,Put up to 2 Pokémon from your discard pile into your hand.,{G},n/a
13,27,Iron Leaves,Avenging Edge,GRASS;COLORLESS;COLORLESS,3,100,33.33,"If any of your Pokémon were Knocked Out by damage from an attack during your opponent’s last turn, this attack does 60 more damage.",{G}●●,100
14,28,Poltchageist,Hook,GRASS,1,10,10.0,,{G},10
15,29,Sinistcha ex,Re-Brew,COLORLESS,1,0,0.0,"Put 2 damage counters on 1 of your opponent’s Pokémon for each Basic {G} Energy card in your discard pile. Then, shuffle those Energy cards into your deck.",●,n/a
16,29,Sinistcha ex,Matcha Splash,GRASS;COLORLESS,2,120,60.0,Heal 30 damage from each of your Pokémon.,{G}●,120
17,30,Magcargo ex,Hot Magma,FIRE;COLORLESS,2,70,35.0,Your opponent’s Active Pokémon is now Burned.,{R}●,70
