basic_card_id,basic_name,stage1_card_id,stage1_name,stage2_card_id,stage2_name,chain_length
895,Scraggy,21,Scrafty,,,2
1048,Hippopotas,23,Hippowdon,,,2
317,Eevee,26,Leafeon,,,2
28,Poltchageist,29,Sinistcha ex,,,2
76,Slugma,30,Magcargo ex,,,2
317,Eevee,32,Glaceon,,,2
945,Froakie,34,Frogadier,,,2
945,Froakie,34,Frogadier,40,Greninja ex,3
937,Totodile,48,Croconaw,,,2
937,Totodile,938,Croconaw,49,Feraligatr,3
105,Finizen,51,Palafin,,,2
50,Wiglett,52,Wugtrio ex,,,2
989,Bronzor,55,Bronzong,,,2
1057,Gastly,60,Haunter,,,2
305,Dunsparce,66,Dudunsparce,,,2
656,Seedot,69,Nuzleaf,,,2
656,Seedot,657,Nuzleaf,70,Shiftry,3
562,Deerling,72,Sawsbuck,,,2
73,Rellor,74,Rabsca,,,2
77,Litten,78,Torracat,,,2
77,Litten,78,Torracat,79,Incineroar ex,3
526,Drilbur,82,Excadrill,,,2
38,Girafarig,83,Farigiraf ex,,,2
916,Scyther,84,Scizor ex,,,2
274,Beldum,86,Metang,,,2
89,Grookey,90,Thwackey,,,2
89,Grookey,90,Thwackey,91,Rillaboom,3
346,Applin,93,Dipplin,,,2
28,Poltchageist,94,Sinistcha,,,2
493,Litwick,494,Lampent,98,Chandelure,3
242,Feebas,102,Milotic,,,2
860,Snorunt,104,Froslass,,,2
105,Finizen,106,Palafin,,,2
105,Finizen,107,Palafin ex,,,2
965,Swirlix,110,Slurpuff,,,2
528,Timburr,114,Gurdurr,,,2
528,Timburr,529,Gurdurr,115,Conkeldurr,3
119,Dreepy,120,Drakloak,,,2
119,Dreepy,120,Drakloak,121,Dragapult ex,3
124,Chansey,125,Blissey ex,,,2
586,Joltik,126,Galvantula,,,2
1020,Rowlet,128,Dartrix,,,2
1020,Rowlet,1021,Dartrix,129,Decidueye,3
143,Varoom,130,Revavroom ex,,,2
131,Duskull,132,Dusclops,,,2
131,Duskull,132,Dusclops,133,Dusknoir,3
317,Eevee,134,Sylveon,,,2
614,Zorua,137,Zoroark,,,2
1099,Antique Root Fossil,146,Lileep,,,2
1099,Antique Root Fossil,146,Lileep,147,Cradily,3
346,Applin,921,Dipplin,150,Hydrapple ex,3
664,Scorbunny,152,Raboot,,,2
664,Scorbunny,665,Raboot,153,Cinderace ex,3
1136,Antique Cover Fossil,503,Tirtouga,155,Carracosta,3
977,Crabrawler,156,Crabominable,,,2
157,Chewtle,158,Drednaw,,,2
586,Joltik,161,Galvantula ex,,,2
327,Slowpoke,163,Slowking,,,2
621,Klink,166,Klang,,,2
621,Klink,622,Klang,167,Klinklang,3
992,Duraludon,170,Archaludon,,,2
250,Hoothoot,173,Noctowl,,,2
947,Quaxly,181,Quaxwell,,,2
947,Quaxly,181,Quaxwell,182,Quaquaval,3
822,Trapinch,188,Vibrava,,,2
822,Trapinch,823,Vibrava,189,Flygon ex,3
992,Duraludon,190,Archaludon ex,,,2
668,Gimmighoul,191,Gholdengo,,,2
653,Exeggcute,193,Alolan Exeggutor ex,,,2
197,Swablu,194,Altaria,,,2
1017,Scatterbug,200,Spewpa,,,2
935,Fuecoco,936,Crocalor,203,Skeledirge,3
925,Capsakid,205,Scovillain ex,,,2
242,Feebas,207,Milotic ex,,,2
950,Magnemite,211,Magneton,,,2
959,Togepi,960,Togetic,214,Togekiss,3
592,Yamask,219,Cofagrigus,,,2
1042,Espurr,221,Meowstic,,,2
111,Sandygast,223,PalossandEX,,,2
437,Mankey,438,Primeape,224,Annihilape,3
208,Shellos,225,Gastrodon,,,2
616,Deino,228,Zweilous,,,2
616,Deino,617,Zweilous,229,Hydreigon ex,3
998,Slakoth,999,Vigoroth,232,Slaking ex,3
317,Eevee,236,Leafeon ex,,,2
814,Cottonee,238,Whimsicott,,,2
317,Eevee,239,Flareon ex,,,2
100,Goldeen,240,Seaking,,,2
317,Eevee,241,Vaporeon ex,,,2
317,Eevee,243,Glaceon ex,,,2
317,Eevee,244,Jolteon ex,,,2
741,Abra,742,Kadabra,245,Alakazam,3
317,Eevee,246,Espeon ex,,,2
317,Eevee,248,Umbreon ex,,,2
252,Caterpie,253,Metapod,,,2
252,Caterpie,253,Metapod,254,Butterfree,3
929,Magmar,256,Magmortar,,,2
257,N’s Darumaka,258,N’s Darmanitan,,,2
782,Lotad,261,Lombre,,,2
782,Lotad,783,Lombre,262,Ludicolo,3
263,Wailmer,264,Wailord,,,2
265,Iono’s Voltorb,266,Iono’s Electrode,,,2
268,Iono’s Tadbulb,269,Iono’s Bellibolt ex,,,2
270,Iono’s Wattrel,271,Iono’s Kilowattrel,,,2
963,Shuppet,273,Banette,,,2
274,Beldum,275,Metang,,,2
274,Beldum,275,Metang,276,Metagross,3
278,Lillie’s Cutiefly,279,Lillie’s Ribombee,,,2
800,Swinub,282,Piloswine,,,2
800,Swinub,801,Piloswine,283,Mamoswine ex,3
284,Larvitar,285,Pupitar,,,2
286,Rockruff,287,Lycanroc,,,2
288,Hop’s Silicobra,289,Hop’s Sandaconda,,,2
284,Larvitar,285,Pupitar,290,Tyranitar,3
292,N’s Zorua,293,N’s Zoroark ex,,,2
294,N’s Klink,295,N’s Klang,,,2
294,N’s Klink,295,N’s Klang,296,N’s Klinklang,3
307,Hop’s Rookidee,308,Hop’s Corvisquire,298,Hop’s Corviknight,3
300,Bagon,301,Shelgon,,,2
300,Bagon,301,Shelgon,302,Salamence ex,3
305,Dunsparce,306,Dudunsparce ex,,,2
307,Hop’s Rookidee,308,Hop’s Corvisquire,,,2
309,Hop’s Wooloo,310,Hop’s Dubwool,,,2
961,Marill,315,Azumarill,,,2
317,Eevee,316,Sylveon ex,,,2
796,Charcadet,320,Ceruledge ex,,,2
484,Petilil,322,Lilligant,,,2
410,Torchic,325,Combusken,,,2
410,Torchic,411,Combusken,326,Blaziken ex,3
317,Eevee,330,Sylveon,,,2
339,Yanma,340,Yanmega ex,,,2
341,Cynthia's Roselia,342,Cynthia's Roserade,,,2
532,Dwebble,345,Crustle,,,2
346,Applin,347,Dipplin,,,2
346,Applin,921,Dipplin,348,Hydrapple,3
350,Ponyta,351,Rapidash,,,2
352,Ethan's Cyndaquil,353,Ethan's Quilava,,,2
352,Ethan's Cyndaquil,353,Ethan's Quilava,354,Ethan's Typhlosion,3
355,Ethan's Slugma,356,Ethan's Magcargo,,,2
360,Misty's Staryu,361,Misty's Starmie,,,2
362,Misty's Magikarp,363,Misty's Gyarados,,,2
365,Cynthia's Feebas,366,Cynthia's Milotic,,,2
367,Buizel,368,Floatzel,,,2
371,Electabuzz,372,Electivire ex,,,2
736,Electrike,375,Manectric,,,2
379,Cynthia's Gible,380,Cynthia's Gabite,,,2
379,Cynthia's Gible,380,Cynthia's Gabite,381,Cynthia's Garchomp ex,3
382,Mudbray,383,Mudsdale,,,2
384,Arven's Toedscool,385,Arven's Toedscruel,,,2
388,Arven's Maschiff,389,Arven's Mabosstiff ex,,,2
391,Arven's Skwovet,392,Arven's Greedent,,,2
394,Shroomish,395,Breloom,,,2
397,Fomantis,398,Lurantis,,,2
400,Team Rocket's Tarountula,401,Team Rocket's Spidops,,,2
402,Smoliv,403,Dolliv,,,2
402,Smoliv,403,Dolliv,404,Arboliva ex,3
405,Growlithe,406,Arcanine,,,2
408,Team Rocket's Houndour,409,Team Rocket's Houndoom,,,2
410,Torchic,411,Combusken,,,2
410,Torchic,411,Combusken,412,Blaziken,3
415,Clamperl,416,Huntail,,,2
415,Clamperl,417,Gorebyss,,,2
722,Snover,419,Abomasnow,,,2
