attack_id,attack_name,card_id,card_name,inflicts_poisoned,inflicts_burned,inflicts_paralyzed,inflicts_confused,inflicts_asleep,coin_flip,discards_energy,discards_own_hand,heals,draws_cards,switches_pokemon,prevents_or_reduces_damage,hits_the_bench,self_damage,references_knock_out,ignores_weakness_resistance
1,Nab ’n’ Dash,21,Scrafty,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,High Jump Kick,21,Scrafty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Push Down,22,Hippopotas,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,Ram,23,Hippowdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Super Sandstorm,23,Hippowdon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,Comet Punch,24,Team Rocket's Kangaskhan ex,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Wicked Impact,24,Team Rocket's Kangaskhan ex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Slow Crunch,25,Pinsir,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9,Superpowered Horns,25,Pinsir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Leaflet Blessings,26,Leafeon,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,Solar Beam,26,Leafeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Recovery Net,27,Iron Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Avenging Edge,27,Iron Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Hook,28,Poltchageist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Re-Brew,29,Sinistcha ex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Matcha Splash,29,Sinistcha ex,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Hot Magma,30,Magcargo ex,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
