card_id,name,jp_name,expansion,jp_expansion,collection_no,jp_collection_no,card_type,stage,rule_text,category,hp,energy_type,weakness_type,resistance_type,retreat_cost,is_ex,is_mega_ex,is_tera,is_ace_spec,evolves_from,evolution_stage_number,num_attacks,num_abilities,has_ability,attack_ids
1,Basic {G} Energy,基本【草】エネルギー,SVE,n/a,1,GRA,BASIC_ENERGY,,n/a,n/a,,GRASS,,,0,False,False,False,False,,,0,0,False,
2,Basic {R} Energy,基本【炎】エネルギー,SVE,n/a,2,FIR,BASIC_ENERGY,,n/a,n/a,,FIRE,,,0,False,False,False,False,,,0,0,False,
3,Basic {W} Energy,基本【水】エネルギー,SVE,n/a,3,WAT,BASIC_ENERGY,,n/a,n/a,,WATER,,,0,False,False,False,False,,,0,0,False,
4,Basic {L} Energy,基本【雷】エネルギー,SVE,n/a,4,LIG,BASIC_ENERGY,,n/a,n/a,,LIGHTNING,,,0,False,False,False,False,,,0,0,False,
5,Basic {P} Energy,基本【超】エネルギー,SVE,n/a,5,PSY,BASIC_ENERGY,,n/a,n/a,,PSYCHIC,,,0,False,False,False,False,,,0,0,False,
6,Basic {F} Energy,基本【闘】エネルギー,SVE,n/a,6,FIG,BASIC_ENERGY,,n/a,n/a,,FIGHTING,,,0,False,False,False,False,,,0,0,False,
7,Basic {D} Energy,基本【悪】エネルギー,SVE,n/a,7,DAR,BASIC_ENERGY,,n/a,n/a,,DARKNESS,,,0,False,False,False,False,,,0,0,False,
8,Basic {M} Energy,基本【鋼】エネルギー,SVE,n/a,8,MET,BASIC_ENERGY,,n/a,n/a,,METAL,,,0,False,False,False,False,,,0,0,False,
9,Boomerang Energy,ブーメランエネルギー,TWM,MC,166,738/742,SPECIAL_ENERGY,,n/a,n/a,,COLORLESS,,,0,False,False,False,False,,,0,1,True,
10,Neo Upper Energy,ネオアッパーエネルギー,TEF,SV5K,162,071/071,SPECIAL_ENERGY,,ACE SPEC,n/a,,COLORLESS,,,0,False,False,False,True,,,0,1,True,
11,Mist Energy,ミストエネルギー,TEF,SVN,161,043/045,SPECIAL_ENERGY,,n/a,n/a,,COLORLESS,,,0,False,False,False,False,,,0,1,True,
12,Legacy Energy,レガシーエネルギー,TWM,MC,167,741/742,SPECIAL_ENERGY,,ACE SPEC,n/a,,RAINBOW,,,0,False,False,False,True,,,0,1,True,
13,Enriching Energy,リッチエネルギー,SSP,MC,191,740/742,SPECIAL_ENERGY,,ACE SPEC,n/a,,COLORLESS,,,0,False,False,False,True,,,0,1,True,
